Rank,Title,Year,Permission,Subject,Contributor,Genre
1,Songs from the Peanut Man,1937,Library of Congress,Peanut Man,Lamar Wilson,Field Recording
2,The Story of Rain,1936,Alabama Pioneers,Folk Story,Mary A. Poole,Story
3,We Remember Interview with Holocaust Survivor Mrs. Agnes Tannenbaum,2012,Copyright Scoville Productions,Holocaust Survivor,"Agnes Tannenbaum,Victoria Hirsch, Cory Garfunkle",Interview
4,Art IS Mobile Part 4 Monologue with Eugene Walter,2016,Public Domain YouTube,"Eugene Walter, Interview","Mary Klotz Mercer, Eugene Walter",Interview
5,Rare Bird Eugene Walter Stories Poems and Songs,1991,Copyright Eugene Walter,Eugene Walter Readings,"Eugene Walter, Nomad Productions","Monologue, Mixed Media"
6,Dot Moore Mardi Gras Mobile Alabama,1976,Public Domain YouTube,"Dot Moore Interview, BiCentennial Mobile Mardi Gras","Dot Moore, WALA Channel 10 Local NBC Affiliate","Interview, Newscast"
7,Mobile Alabama Emblem Walkers,1937,Library of Congress,"Mobile Mardi Gras, OOM, Order of Myths",Order of Myths,"Chant, Field Recording"
