number,title,year,director,genre,subgenre,image_url
1,Big,1988,Penny Marshall,Comedy,Fantasy,https://images-na.ssl-images-amazon.com/images/I/513YB9TBQRL.jpg
2,Sully,2016,Clint Eastwood,Drama,Biography,https://images-na.ssl-images-amazon.com/images/I/911pliu-7hL._SL1500_.jpg
3,Chinatown,1974,Roman Polanski,"Mystery, Drama",Romance,https://images-na.ssl-images-amazon.com/images/I/41sVJOVA0ZL.jpg
4,Groundhog Day,1993,Harold Ramis,Comedy,Romantic Comedy,https://images-na.ssl-images-amazon.com/images/I/51E9PTFZZ3L.jpg
5,The Piano,1993,Jane Campion,Drama,Romance,https://images-na.ssl-images-amazon.com/images/I/81UdJPWDoxL._SL1500_.jpg
6,Awakenings,1990,Penny Marshall,Drama,Biography,https://images-na.ssl-images-amazon.com/images/I/51ZNCRTKWEL.jpg
